;Medida;1;2;3;4;5;6;7;8;9;10
Anel 15;Diâmetro (mm);19.25;19.30;19.95;19.50;19.05;18.95;19.35;19.30;19.55;18.80
;Massa (g);1.15;1.12;1.13;1.13;1.13;1.13;1.12;1.13;1.12;1.13
;Comprimento (mm);30.88347032;30.07781457;30.34636649;30.34636649;30.34636649;30.34636649;30.07781457;30.34636649;30.07781457;30.34636649
Anel 4;Diâmetro (mm);20.35;20.25;20.20;19.95;20.25;20.00;20.30;20.25;20.25;19.95
;Massa (g);1.12;1.12;1.12;1.12;1.11;1.12;1.12;1.10;1.11;1.10
;Comprimento (mm);30.07781457;30.07781457;30.07781457;30.07781457;29.80926266;30.07781457;30.07781457;29.54071074;29.80926266;29.54071074
Anel 11;Diâmetro (mm);20.60;20.70;20.55;20.50;20.45;20.50;20.60;20.55;20.60;20.50
;Massa (g);1.15;1.15;1.16;1.15;1.16;1.16;1.16;1.15;1.15;1.17
;Comprimento (mm);30.88347032;30.88347032;31.15202224;30.88347032;31.15202224;31.15202224;31.15202224;30.88347032;30.88347032;31.42057415
Anel 7;Diâmetro (mm);19.70;19.90;20.00;19.45;19.60;19.40;19.75;19.80;19.65;19.60
;Massa (g);1.13;1.13;1.13;1.12;1.12;1.13;1.11;1.12;1.11;1.12
;Comprimento (mm);30.34636649;30.34636649;30.34636649;30.07781457;30.07781457;30.34636649;29.80926266;30.07781457;29.80926266;30.07781457
